Clubes,América,Atlético,Athletico,Bahia,Botafogo,Corinthians,Coritiba,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Goiás,Internacional,Palmeiras,Santos,São Paulo,Vasco da Gama,Média da Liga
Direitos de transmissão,73.0,98,43.0,12.0,117,307,51.0,0,75.0,326,121.5,64.0,193.0,45.1,75,183.0,97.0,259,99.0,124.36666666666666
Publicidade e patrocínio,33.0,47,39.0,25.0,39,117,14.0,0,6.3,183,50.0,31.0,74.0,23.35,65,121.0,78.0,46,49.0,57.8138888888889
Arrecadação de jogos,3.1,47,33.0,6.9,22,91,12.0,0,16.6,169,39.0,20.0,2.4,6.75,20,63.0,26.0,110,25.0,39.59722222222222
Sócio-torcedor,0.0,27,45.0,13.0,27,43,27.0,0,0.0,90,57.0,35.0,86.0,8.0,73,59.0,0.0,21,32.0,42.86666666666667
Premiações,0.0,0,37.0,0.0,21,12,0.0,0,0.0,137,155.0,39.0,0.0,11.0,75,80.0,0.0,0,20.0,58.7
Licenciamento da marca,0.0,0,27.4,3.8000000000000003,2,17,0.0,0,0.0,59,1.3,19.0,31.0,2.5500000000000003,14,36.0,1.4,18,8.6,17.217857142857145
RECEITA RECORRENTE,109.1,219,224.4,60.699999999999996,228,587,104.0,0,97.9,964,423.8,208.0,386.4,96.75,322,542.0,202.4,454,234.0,303.52500000000003
Negociação de atletas,62.0,111,241.0,0.0,83,251,15.2,0,0.0,303,16.0,34.0,50.0,4.5,77,187.0,174.0,121,125.3,115.9375
Outras receitas,17.0,6,48.0,2.0,44,0,40.80000000000001,0,31.0,49,12.0,2.0,12.399999999999977,11.0,25,110.0,47.599999999999994,94,14.0,33.28235294117647
RECEITA OPERACIONAL LÍQUIDA,188.0,336,513.4,59.0,355,838,160.1,0,158.0,1316,452.0,243.0,424.0,90.0,374,839.0,424.0,669,345.0,432.4166666666667
Pessoal e encargos sociais,92.0,163,103.0,0.0,171,261,85.1,0,99.0,339,127.0,77.0,128.0,43.0,164,319.0,147.0,187,124.0,154.6529411764706
Direitos de imagem,0.0,53,30.0,0.0,58,0,34.0,0,0.0,124,54.0,37.0,103.0,7.0,32,86.0,33.0,79,36.0,54.714285714285715
Despesas com jogos,0.0,43,18.0,0.0,16,40,6.0,0,0.0,125,18.0,13.0,23.0,10.0,9,26.0,25.0,57,30.0,30.6
Despesas gerais e administrativas,84.0,34,80.0,0.0,105,74,58.0,0,21.0,131,58.0,63.0,89.0,26.0,76,86.0,59.0,45,72.0,68.29411764705883
Depreciação e amortização,16.0,79,43.0,0.0,92,81,0.4,0,0.0,200,4.0,38.6,5.3,2.5,49,106.0,49.5,79,59.0,56.51875
Outras despesas,5.0,255,154.0,0.0,75,214,24.5,0,0.0,105,280.0,55.0,65.69999999999999,15.0,43,154.0,105.5,206,93.0,115.60625
DESPESAS,197.0,627,428.0,0.0,517,672,208.0,0,120.0,1024,541.0,284.0,414.0,104.0,373,777.0,419.0,653,415.0,457.2352941176471
RESULTADO OPERACIONAL,9.0,309,275.0,0.0,44,166,80.0,0,38.0,292,124.0,76.0,9.5,126.0,232,62.0,5.0,16,70.0,113.73529411764706
Resultado Financeiro,13.0,167,108.0,0.0,57,45,30.0,0,1.0,28,45.0,10.0,55.0,1.4,61,53.0,4.0,78,54.0,47.67058823529412
Superávit/Déficit,22.0,142,383.0,0.0,101,121,50.0,0,37.0,320,78.0,66.0,45.0,124.0,170,8.5,1.0,62,124.0,109.08823529411765
Folha de Pessoal/Imagem,0.0,0,133.0,0.0,162,261,119.1,0,99.0,463,0.0,114.0,231.0,50.0,196,405.0,180.0,266,160.0,202.79285714285714
Transmissão + Premiações,0.0,0,80.0,0.0,138,319,51.0,0,75.0,463,0.0,103.0,193.0,56.1,150,263.0,97.0,97,119.0,157.43571428571428
Folha do Futebol,0.0,0,133.0,0.0,162,261,119.1,0,99.0,463,0.0,114.0,231.0,50.0,196,405.0,172.0,172,0.0,198.23846153846154
Venda de Direitos - Liga Forte,116.0,0,190.0,0.0,182,0,152.0,0,28.7,0,213.0,118.0,0.0,140.0,206,0.0,0.0,0,0.0,149.52222222222224
Outras Rec/Desp Operacionais,0.0,600,0.0,0.0,64,0,24.0,0,0.0,0,0.0,0.0,0.0,0.0,25,0.0,0.0,0,0.0,178.25
Ajuste - LFF,9.0,291,85.39999999999998,0.0,162,0,48.0,0,0.0,0,89.0,42.0,0.0,14.0,1,0.0,0.0,0,0.0,82.37777777777778
Transmissão Pura,0.0,0,43.0,0.0,0,0,0.0,0,0.0,326,0.0,0.0,0.0,0.0,0,183.0,0.0,0,0.0,184.0
